Date,Shift,Equipment_Tag,Equipment_Name,Location,Parameter,Reading,Unit,Threshold,Status,Inspector,Remarks
2026-08-25,A,P-101A,Feed Pump A,Pump House 1,Vibration,4.79,mm/s,4.5,ALARM,A. Kulkarni,Flagged for maintenance review
2026-08-25,C,P-101B,Feed Pump B (Standby),Pump House 1,Vibration,3.7,mm/s,4.5,NORMAL,R. Deshmukh,Routine round
2026-08-25,A,P-102,Booster Pump,Pump House 1,Vibration,4.66,mm/s,4.5,ALARM,P. Sharma,Flagged for maintenance review
2026-08-25,C,HX-201,Feed-Effluent Exchanger,Unit 200,Shell Temp,139.09,deg C,180,NORMAL,P. Sharma,Routine round
2026-08-25,B,HX-202,Trim Cooler,Unit 200,Shell Temp,63.47,deg C,90,NORMAL,R. Deshmukh,Routine round
2026-08-25,B,V-301,Surge Drum,Unit 300,Pressure,8.72,kg/cm2,10.5,NORMAL,S. Bhosale,Routine round
2026-08-25,B,V-302,Knockout Drum,Unit 300,Pressure,5.22,kg/cm2,8.0,NORMAL,R. Deshmukh,Routine round
2026-08-25,B,C-401,Compressor Stage 1,Compressor House,Discharge Temp,81.8,deg C,140,NORMAL,P. Sharma,Routine round
2026-08-25,A,C-402,Compressor Stage 2,Compressor House,Discharge Temp,164.03,deg C,150,ALARM,N. Iyer,Flagged for maintenance review
2026-08-25,C,T-501,Stripper Column,Unit 500,Bottom Temp,127.41,deg C,220,NORMAL,P. Sharma,Routine round
2026-08-25,A,T-502,Reboiler,Unit 500,Skin Temp,228.18,deg C,260,NORMAL,R. Deshmukh,Routine round
2026-08-25,B,PSV-601,Relief Valve - Reactor,Unit 600,Set Pressure Check,8.5,kg/cm2,15.0,NORMAL,R. Deshmukh,Routine round
2026-08-25,B,PSV-602,Relief Valve - Header,Unit 600,Set Pressure Check,10.4,kg/cm2,12.0,NORMAL,S. Bhosale,Routine round
2026-08-25,A,TK-701,Naphtha Storage Tank,Tank Farm,Level,64.6,%,90,NORMAL,S. Bhosale,Routine round
2026-08-25,C,TK-702,Slop Tank,Tank Farm,Level,57.92,%,85,NORMAL,R. Deshmukh,Routine round
2026-08-25,C,M-801,Cooling Tower Fan Motor 1,Cooling Tower,Winding Temp,93.05,deg C,120,NORMAL,A. Kulkarni,Routine round
2026-08-25,C,M-802,Cooling Tower Fan Motor 2,Cooling Tower,Winding Temp,73.26,deg C,120,NORMAL,P. Sharma,Routine round
2026-08-25,A,E-901,Emergency Diesel Generator,Power House,Load,63.13,%,100,NORMAL,A. Kulkarni,Routine round
2026-08-26,B,P-101A,Feed Pump A,Pump House 1,Vibration,3.84,mm/s,4.5,NORMAL,S. Bhosale,Routine round
2026-08-26,C,P-101B,Feed Pump B (Standby),Pump House 1,Vibration,2.59,mm/s,4.5,NORMAL,S. Bhosale,Routine round
2026-08-26,C,P-102,Booster Pump,Pump House 1,Vibration,2.83,mm/s,4.5,NORMAL,N. Iyer,Routine round
2026-08-26,C,HX-201,Feed-Effluent Exchanger,Unit 200,Shell Temp,108.52,deg C,180,NORMAL,P. Sharma,Routine round
2026-08-26,B,HX-202,Trim Cooler,Unit 200,Shell Temp,67.45,deg C,90,NORMAL,P. Sharma,Routine round
2026-08-26,A,V-301,Surge Drum,Unit 300,Pressure,7.33,kg/cm2,10.5,NORMAL,P. Sharma,Routine round
2026-08-26,A,V-302,Knockout Drum,Unit 300,Pressure,5.86,kg/cm2,8.0,NORMAL,A. Kulkarni,Routine round
2026-08-26,B,C-401,Compressor Stage 1,Compressor House,Discharge Temp,109.5,deg C,140,NORMAL,P. Sharma,Routine round
2026-08-26,B,C-402,Compressor Stage 2,Compressor House,Discharge Temp,86.03,deg C,150,NORMAL,P. Sharma,Routine round
2026-08-26,A,T-501,Stripper Column,Unit 500,Bottom Temp,141.47,deg C,220,NORMAL,R. Deshmukh,Routine round
2026-08-26,B,T-502,Reboiler,Unit 500,Skin Temp,208.58,deg C,260,NORMAL,S. Bhosale,Routine round
2026-08-26,B,PSV-601,Relief Valve - Reactor,Unit 600,Set Pressure Check,8.87,kg/cm2,15.0,NORMAL,R. Deshmukh,Routine round
2026-08-26,B,PSV-602,Relief Valve - Header,Unit 600,Set Pressure Check,10.83,kg/cm2,12.0,WARNING,P. Sharma,Flagged for maintenance review
2026-08-26,A,TK-701,Naphtha Storage Tank,Tank Farm,Level,74.87,%,90,NORMAL,S. Bhosale,Routine round
2026-08-26,A,TK-702,Slop Tank,Tank Farm,Level,73.22,%,85,NORMAL,A. Kulkarni,Routine round
2026-08-26,C,M-801,Cooling Tower Fan Motor 1,Cooling Tower,Winding Temp,82.6,deg C,120,NORMAL,R. Deshmukh,Routine round
2026-08-26,A,M-802,Cooling Tower Fan Motor 2,Cooling Tower,Winding Temp,92.59,deg C,120,NORMAL,S. Bhosale,Routine round
2026-08-26,B,E-901,Emergency Diesel Generator,Power House,Load,87.51,%,100,NORMAL,A. Kulkarni,Routine round
2026-08-27,A,P-101A,Feed Pump A,Pump House 1,Vibration,2.57,mm/s,4.5,NORMAL,R. Deshmukh,Routine round
2026-08-27,C,P-101B,Feed Pump B (Standby),Pump House 1,Vibration,3.69,mm/s,4.5,NORMAL,A. Kulkarni,Routine round
2026-08-27,C,P-102,Booster Pump,Pump House 1,Vibration,2.69,mm/s,4.5,NORMAL,A. Kulkarni,Routine round
2026-08-27,B,HX-201,Feed-Effluent Exchanger,Unit 200,Shell Temp,116.65,deg C,180,NORMAL,A. Kulkarni,Routine round
2026-08-27,C,HX-202,Trim Cooler,Unit 200,Shell Temp,80.43,deg C,90,NORMAL,A. Kulkarni,Routine round
2026-08-27,C,V-301,Surge Drum,Unit 300,Pressure,8.54,kg/cm2,10.5,NORMAL,S. Bhosale,Routine round
2026-08-27,A,V-302,Knockout Drum,Unit 300,Pressure,5.7,kg/cm2,8.0,NORMAL,A. Kulkarni,Routine round
2026-08-27,C,C-401,Compressor Stage 1,Compressor House,Discharge Temp,88.64,deg C,140,NORMAL,P. Sharma,Routine round
2026-08-27,A,C-402,Compressor Stage 2,Compressor House,Discharge Temp,95.27,deg C,150,NORMAL,R. Deshmukh,Routine round
2026-08-27,B,T-501,Stripper Column,Unit 500,Bottom Temp,139.64,deg C,220,NORMAL,R. Deshmukh,Routine round
2026-08-27,B,T-502,Reboiler,Unit 500,Skin Temp,192.46,deg C,260,NORMAL,A. Kulkarni,Routine round
2026-08-27,C,PSV-601,Relief Valve - Reactor,Unit 600,Set Pressure Check,11.24,kg/cm2,15.0,NORMAL,P. Sharma,Routine round
2026-08-27,B,PSV-602,Relief Valve - Header,Unit 600,Set Pressure Check,8.7,kg/cm2,12.0,NORMAL,A. Kulkarni,Routine round
2026-08-27,B,TK-701,Naphtha Storage Tank,Tank Farm,Level,52.64,%,90,NORMAL,N. Iyer,Routine round
2026-08-27,A,TK-702,Slop Tank,Tank Farm,Level,59.68,%,85,NORMAL,R. Deshmukh,Routine round
2026-08-27,A,M-801,Cooling Tower Fan Motor 1,Cooling Tower,Winding Temp,68.69,deg C,120,NORMAL,A. Kulkarni,Routine round
2026-08-27,A,M-802,Cooling Tower Fan Motor 2,Cooling Tower,Winding Temp,74.51,deg C,120,NORMAL,N. Iyer,Routine round
2026-08-27,A,E-901,Emergency Diesel Generator,Power House,Load,61.79,%,100,NORMAL,N. Iyer,Routine round
2026-08-28,A,P-101A,Feed Pump A,Pump House 1,Vibration,3.82,mm/s,4.5,NORMAL,R. Deshmukh,Routine round
2026-08-28,A,P-101B,Feed Pump B (Standby),Pump House 1,Vibration,3.56,mm/s,4.5,NORMAL,R. Deshmukh,Routine round
2026-08-28,A,P-102,Booster Pump,Pump House 1,Vibration,4.02,mm/s,4.5,NORMAL,N. Iyer,Routine round
2026-08-28,B,HX-201,Feed-Effluent Exchanger,Unit 200,Shell Temp,131.34,deg C,180,NORMAL,R. Deshmukh,Routine round
2026-08-28,B,HX-202,Trim Cooler,Unit 200,Shell Temp,97.42,deg C,90,ALARM,S. Bhosale,Flagged for maintenance review
2026-08-28,C,V-301,Surge Drum,Unit 300,Pressure,7.42,kg/cm2,10.5,NORMAL,N. Iyer,Routine round
2026-08-28,A,V-302,Knockout Drum,Unit 300,Pressure,4.86,kg/cm2,8.0,NORMAL,P. Sharma,Routine round
